date,open,high,low,close,volume
2024-04-09,2337.80,2364.70,2337.80,2343.50,211
2024-04-10,2346.60,2358.10,2327.70,2329.60,377
2024-04-11,2341.50,2376.30,2330.60,2354.80,283
2024-04-12,2377.30,2429.00,2334.30,2356.20,584
2024-04-15,2362.10,2384.70,2326.00,2365.80,1801
2024-04-16,2384.00,2390.80,2371.40,2390.80,41
2024-04-17,2384.20,2391.40,2369.30,2371.70,37
2024-04-18,2368.40,2384.40,2368.40,2382.30,128
2024-04-19,2379.30,2399.80,2377.30,2398.40,160
2024-04-22,2383.30,2383.30,2326.90,2332.20,53
2024-04-23,2327.70,2330.80,2294.20,2327.70,171
2024-04-24,2321.30,2328.70,2314.60,2324.50,95
2024-04-25,2315.00,2329.80,2305.00,2329.80,1024
2024-04-26,2347.90,2347.90,2332.80,2334.80,717
2024-04-29,2334.80,2345.50,2327.90,2345.40,405
2024-04-30,2322.50,2322.50,2291.40,2291.40,113
2024-05-01,2287.70,2327.30,2283.80,2299.90,42
2024-05-02,2321.70,2324.70,2292.30,2299.20,56
2024-05-03,2300.00,2301.00,2277.60,2299.00,194
2024-05-06,2322.80,2325.50,2314.20,2321.60,9
2024-05-07,2324.30,2324.30,2315.20,2315.20,25
2024-05-08,2313.60,2313.60,2313.60,2313.60,4
2024-05-09,2310.70,2339.50,2310.70,2332.10,5
2024-05-10,2367.30,2367.30,2367.30,2367.30,126
2024-05-13,2358.30,2358.30,2336.10,2336.10,14
2024-05-14,2336.00,2358.00,2336.00,2353.40,6
2024-05-15,2361.60,2388.70,2356.00,2388.70,29
2024-05-16,2389.50,2392.20,2380.00,2380.00,7
2024-05-17,2380.70,2415.80,2380.70,2412.20,213
2024-05-20,2415.80,2435.80,2409.70,2433.90,40
2024-05-21,2429.50,2429.50,2421.00,2421.70,6
2024-05-22,2417.50,2417.60,2375.80,2389.20,180
2024-05-23,2371.20,2371.20,2335.00,2335.00,365
2024-05-24,2342.60,2345.40,2332.50,2332.50,25
2024-05-28,2336.90,2359.70,2336.90,2355.20,26
2024-05-29,2340.30,2340.30,2340.30,2340.30,119317
2024-05-30,2336.90,2349.50,2320.80,2342.90,32587
2024-05-31,2344.10,2354.00,2319.00,2322.90,941
2024-06-03,2322.60,2347.50,2312.00,2346.60,781
2024-06-04,2347.50,2347.70,2313.90,2325.50,890
2024-06-05,2326.40,2354.30,2326.20,2354.10,295
2024-06-06,2355.00,2375.80,2355.00,2370.30,179
2024-06-07,2379.90,2385.10,2285.40,2305.20,269
2024-06-10,2290.60,2309.30,2290.50,2307.70,69
2024-06-11,2300.00,2314.10,2300.00,2307.50,871
2024-06-12,2314.90,2338.70,2310.30,2336.00,132
2024-06-13,2309.40,2317.70,2296.20,2300.20,298
